,0,1
0,mummy who,DADDY
1,HEY WHATS FOR DINNER COW,POO SIR IT IS THE FRENCH WAY
2,what do you call a camel with no bones in his back,a horse
3,what does a frog say?,ninininininini nininininininini
4,is this a joke about the fact that most people dislike obamacare,"if so, that's deep"
5,docter docter i hit my head,what do you want me to do stupid
6,"""what does the sock say","im a sock yeah?"""
7,a fisherman.,go away! i already have hundreds of fish.
8,why wolves howl?,because they have no idea what are they doing
9,which one born first hen or egg ?,hen is first
10,what do you call a person who is yellow?,a cheese statue
11,Bob Humbug who,naughty bob humbug
12,what was the name of the other leg ,SAND
13,Rat who?,Your new doctor
14,what is furry and lays eggs and also flys?,a hot air chicken egg
15,What's brown and sounds like a bell?,Dung!
16,whats brown all over?,a stick
17,what is the best part of bread……,bread
18,Just...,What?
19,do you no what ,get out of my house
20,WHAT DID THE MAN SAY TO THE CURTAIN WHEN IT KEPT CHATTING?,SHUT UP LOL
21,what do spys eat instead of mcdonalds?,spydonalds
22,KidsWriteJokes,takin
23,if mr brown lived in the brown house and mr purple lived in the purple house who lives in the white house ,the mayor
24,whats the vampires favorite food ,juice
25,What do you call a man who burns?,Pete.
26,KidsWriteJokes,takin
27,what did the house say to the chip,nothing
28,If the third player took over the second player what would the second one become ?,Third
29,why did the turkey go on the plane,to go to turkey
30,"A million zoologists slap their foreheads simultaneously at the realization, “Brown bears are just DIRTY!”",17 scientists commit suicide at having wasted their life’s work. 3 scientists studying black bears feel sweat forming on their upper lips. A secret pact is made.
31,"""What!? A Dog with no tail!?""","""No, a puppy"""
32,And then gets shots when he’s fast asleep. ,Thanks trump.
33,awnser,cos every winter he goesin a hole
34,and what did the hat say to the mitten?,"you stay down there, I'll go on ahead."
35,What did the flashlight say to the car?,Stop it i am changing
36,did you see a gremlin with one leg?,he could buy another one
37,"yeah, like being.",was joke
38,"i before e except after c, or when sounding like a as in neighbor or weigh.",Seems like fine writing to me!
39,what did the robot say to the sentepied,stop bieng a sentepied
40,what did the chiken do when he crossed the road.,pooed on the road
41,how can humans talk ? ,really loud
42,Yes it does ,"I don't think it crosses the border into ""unacceptable abuse"" though?"
43,what is biggest thing than god? ,Two gods
44,you know how to love the computer bigger than any one ?,we need to glue the chair with us and play it all the day
45,"mom: ""BE QUIET MARY!!!!!""","mary: ""ok thanks"""
46,. ,Because a T-Rex bit his leg off.
47,What do you get when you cross a t-rex and a chicken,nothing but death
48,why cats love eating fish,because they both smell bad
49,what did the mitten say to the hat?,You go up there and i stay down here
50,What a dog with no tail,A puppy
51,what a dog with no tail,a puppy
52,when did my parents let me cross the road ,(when i was 20 years old)!!!
53,That's probably the joke they were misremembering.,"Kids will try to repeat things they've seen get a reaction, but because they don't understand what's funny about it they'll sometimes get the crucial details wrong."
54,what’s Greece ’s most famus movie?,troy movie
55,Question-why crow is black?,Answer-because it has been deep fried
56,I mean,They're not wrong
57,what you will do if you lazy and someone tell you to go to the market?,i will ​visit the online market
58,why is a banna yelow ,becase it dousent eat
59,what makes egg and bacon the same ,there both… yummy
60,parent who,exactly I don’t know
61,the lady went down to the BOTOM of a mountain,lol
62,"doctor,doctor I feel like an apple.",can you vomet the seeds out.
63,how do you get a computer to work,just plug it in
64,im procrastinating right now,oops
65,RT Lin_Manuel: RT KidsWriteJokes: WHAT DID JOKER SAY TO BATMAN ,YOUR SO STUPID
66,Lin_Manuel: RT KidsWriteJokes: WHAT DID JOKER SAY TO BATMAN ,YOUR SO STUPID
67,WHAT DID JOKER SAY TO BATMAN ,YOUR SO STUPID
68,does your dog ware a sunhat when its hot ,no just pants
69,what has long hair and is white?,A. a vampire
70,why is it wrong to be frends with a fish.,they are poopy
71,ok.,your dumped.
72,WHAT DO YOU A UNICORN THAT GOES TO WORK ,A WIMP
73,Lin_Manuel: RT KidsWriteJokes: How do you get a tissue to dance?,You put a little boogie in it ( DONT TRY THIS AT HOME ANYBODY)
74,RT Lin_Manuel: RT KidsWriteJokes: How do you get a tissue to dance?,You put a little boogie in it ( DONT TRY THIS AT HOME ANYBODY)
75,how does a creature do tricks ,because it has a life of its own
76,What 2 thing make a girl happy ??,i love you and 50% discount
77,"I am the E.G.G.M.A.N., that's what I am","I am the E.G.G.M.A.N., I've got the master plan"
78,Q. Why doesn’t the egg man climb up walls,A. Because he always falls off
79,What is half of 11? ,1
80,why was 10 afraid of 20,because 20 is 10 times more than 10.
81,how was plants born? ,BY COWS MILK
82,What did David say to Rosie?,I'm old and you will be too soon.
83,you’re* ,You’re bad at this. Shame.
84,what did the x box say to the wii,your old and I am new
85,what do you call a pea without eyes,a bogey
86,Q: What do pandas use to fight?,A: Let me think about it. #kidswritejokes
87,Q: What do you call a consequence that’s not a consequence?,A: Not a consequence! #kidswritejokes
88,what do you do when a pigeon poops on your nose,poop on the pigeons nose and never look back
89,Doctor doctor I have depression.,Have you tried smiling more.
90,Doctor doctor! I feel cold! ,Then pull yourself togever man!
91,Why does my uncle Kevin have a run everyday,because he wants to have a bit of “me” time
92,KidsWriteJokes,takin
93,why did the cow stare at the orange juice for three hours,because it said stare
94,-the queens currency,Yup this is british humor
95,appealing.,♪ YEEEEAAAAAAHHHHH!!! ♫
96,why did the banana eat himself ,he had nothing
97,why do we have a head,because we need to kiss
98,why did you poo,because the toilet said you ugly butt cheek wonder
99,Why did the chicken fall into the volcano?,Because it wanted to die
100,KidsWriteJokes,takin
101,Disgusting who?,Your house is disgusting
102,anser: fffffffffffffffffffffffffff,hahahahahahahahaha
103,"""A treeeeee.""",#KidsWriteJokes
104,"""THEN YOU BETTER GO CATCH IT!""",#KidsWriteJokes
105,what do an elephant say to a lion,can you please don eat me
106,what comes up but never comes down ? ,a pine-apple
107,alice who,IT IS MONDAY GO TO SCHOOL
108,what do you call a banana with no eyes ,a fshhhh
109,when do babys go to college ?,when they are smart
110,Okay this one is actually pretty damn good.,Tfw a kid has a better sense of humour than you...
111,How do you get a tissue to dance?,You put a little boogie in it ( DONT TRY THIS AT HOME ANYBODY)
112,why did the chicken cross the road,"to get her tv,eggs,feet,bananas,brides,groomes and earth"
113,RT Lin_Manuel: RT KidsWriteJokes: HEY WHATS FOR DINNER COW,POO SIR IT IS THE FRENCH WAY
114,Lin_Manuel: RT KidsWriteJokes: HEY WHATS FOR DINNER COW,POO SIR IT IS THE FRENCH WAY
115,What do you get when your kid is a brat?,A one-legged Viking with a poopoo in his hat
116,q:who is the disgusting boy band ,a:the beatles
117,"My 5 y/o laughed heartily at this joke, and upgraded it:","""What did the man do with the time? Wasted it drinking coffee!"""
118,why did the hen run away from the farm ,because it did not belong there
119,Why is Helen Keller a bad driver?,She's dead.
120,what did the man do with time ,wasted it
121,what do you say when somethig carnt fly?,can it fly yet
122,WHAT DO U CALL A FREAK HORSE,JESSICA
123,why did the skeleton have no shoes,because he had no money to by them
124,KidsWriteJokes,takin
125,who created french fries?,a stupid french artist !
126,who is a man?,me
127,why did you leave the oven open,becose I fogot
128,U.K. Gov't = Teetering,U.S. Gov't = Off the Rails/ Russian Hi-Jack
129,What did the pepper say to the cow?,Your one spicy looking cow
130,were do cows go on holiday,to the toilet
131,What is justin bieber ?,rubish
132,what is a monkey thats drunk,alcolic
133,what do babys do everytime they cry.,poo.
134,What would wendy do without any pets.,SHE WOULD FIND SOME PETS AT THE PET SHOP.
135,what do you call a cat what is broken,stupid cat
136,how did the chicen suvive,because he ate his self for dinna
137,takin over ,it won't be long
138,why were cow boys invented?,because they’re idiots
139,mum:there are worms in my plate,waiter:those are sousages
140,Make me come alive. Come on and turn me on.,Okay.
141,"""Doctor, doctor, I think I'm a monster!"" ","""Well monster yourself together!"""
142,"Don’t ever talk to me please,",Okay.
143,WHAT DOES A MONKEY KEEP AS A SECRET,THAIR BANANAS
144,what do you call a boat the never sinks,the titanic
145,what did the jealous man say to the movie star?,you stink looser
146,That name no longer holds any meaning for me. ,Boobasnoot 
147,why did the chiken cross the road go back and go again.,because its bum fell of
148,why dosent steel hurt superman,answer: his movie is superman man of steel
149,What do you do when you see an ugly squirrel? ,Nothing
150,what do spys eat instead of mcdonalds?,spydonalds
151,how many times does one go into zero?,as many times as it wants to
152,OK if my sheep are dead then you are dead!,I am a just joking! you are dead
153,what does a skeleton eat ,bones
154,who is fool in the world?,everyone is
155,IT will be in theaters this September.,The clown will see you in your dreams before then...
156,what key cant onlock something,badkeys
157,Look in the mirror! ,"*CAUTION, DON’T TAKE THIS SERIOUSLY!*"
158,who cleans lakes,a poo fish
159,why did the frog get the bus to town,he is lazy
160,how do you light a fire with out matches,sticks
161,KidsWriteJokes,takin
162,what’s green and hangs off trees,GIRAFFE
163,whats brown and hery and likes to go on holday,a coconut on holday
164,What is the sound of one hand clapping?,A cow pooping.
165,In a field of cows how do you know which one is going on holiday?,The one with the wee calf (Scottish accent)
166,A MAN WENT TO A BAR,YEAH GIVE ME A WISKY BECAUSE I BROK UP WHIT MY WIFE
167,where do monkys go on there vacation,monky mountain
168,i'm wincing,"(it's based on the ""what do you call a FISH with no eyes?"" ""a FSH"" joke btw)"
169,They snither!!,Followed by belly laughs. She's a weirdo.
170,how do dogs live,by eating food
171,what did the dog say to a cat when he was in a toilet,there is no more paper
172,where does a cow buy there milk?,THE SHOP
173,Why do dogs hate cats?,Because they both have 3 letters
174,who the invention of computer?,answer: mouse
175,how old is Jeff?,21 and his dad is 69
176,Question) What word has the word lie in it?,Answer) alien of course because scientist are lying about the truth!
177,I mean,You're not wrong
178,what has 3 eyes 6 legs and 2 noses ,a Cyclops goat with a man wearing a animal suit breeding
179,How many snakes are there?,13.
180,Why do fish have hands?,because they don’t have hands
181,bob:it has a crack in it,doctor:that is normal…
182,why do thiefs want money,they want money because that is thier job and they have to do thier job.
183,why didn’t the skeleton go swimming ,because his eyeballs will be filled with water
184,where deos nicki minaj go to get her hair doen? ,at the market
185,bob:it has a crack in it,doctor:that is normal bob
186,I heard a mum ask her kid if they would go to college when they are older. ,"His answer was: ""only girls go to college"""
187,Q. Why are Zombies fast,A. To catch the bus
188,what is funny and has eight legs ,a clown
189,what do cavemen eat,caves
190,what did the teenager want?,to die
191,Q:If you're American outside bathroom what are you inside?,A:European
192,RT Lin_Manuel: RT KidsWriteJokes: the lady went down to the BOTOM of a mountain,lol
193,where do cows go on holiday,FRANCE
194,what do you call a snake that roams in the garden,A garden snake
195,RT Lin_Manuel: RT KidsWriteJokes: how do you stop a zombie from eating your hed,you dont
196,how do you stop a zombie from eating your hed,you dont
197,HOW DID THE CHEWING GUM CROSS THE ROAD?,IT WAS
198,how does andy get a degree?,somhow
199,how does a poo get out of the toilet?,somhow
200,what happened when the dog won a competion,his prize was some rubish
201,a cow goes to the pub and the man said do you want a pint of water,the cow said no
202,Doctor Who*?*,Whose=Whose car is parked behind mine?
203,"If you want to know what doctor who is, go watch game theory's doctor who pt. 3",Oh wait it doesn't exist
204,"All with exactly the same punchline too, which is bizarre. ","Always ""You just said it"", not ""That's right"", or ""Yes"", but ""You just said it"""
205,knock knock. Whose there. Doctor. Doctor who. You just said it*,*if you do'nt know what doctor who is watch it
206,why did the pig go to the doctors,becuse he lost his pants
207,Why did the elephant cross the road?,The chicken retired.
208,"Oh no, bob",Oh no
209,what do you call a asntronat that farts,a fartonaut
210,What's a buttfo?,"Pooping, stupid!"
211,is this even a fucking joke,like how sad must it be to just sit type those things
212,A UASS OL,#notchildfriendlyjokes
213,"Can we appreciate that this child can spell ""their""?",It's wrong but s t i l l
214,Your name ,?
215,Arroz me,w
216,What's a buttfo?,Poopin'.
217,What's a buttfo? ,It's for pooping
218,What do you call a ufo that looks like a butt?,A buttfo
219,where is the heart of the manifest reality?,it is here.
220,Mind.,Blown.
221,How does a cow go through its legs,because it does.
222,I'll have a look at that one.,I get lots of attempts at jokes but they're way funnier when they're not trying.
223,The Baker who?,Please bake me a cake for my birthday present.
224,I have a kid joke,Chicken butt 
225,What did the chicken say to the pilot?,Can I have a ride to chicken island.
226,"Knowing we are alone in a cold universe on a never ending march toward heat entropy, how can one find solace in this joke?",Heh. Funnyland
227,know were balloons come from,funnyland
228,How can a baby get a phone ,because it want’s one
229,KidsWriteJokes,takin
230,what do call when two circles are next to each other.,a butt
231,Ah,I can relate
232,.,You can have SEVERAL snacks
233,at home what do you have ,a snack
234,i step to the dor,and nok nok nok
235,whos their,spargus
236,"""Your name 3 times""","...""er... I don't get it!"" "
237,Why did the chicken.,Because it did.
238,JOKE:SAY YOUR NAME 3 TIMES,AWNSER:PARROT
239,what is yellow black and orange? ,a newspaper
240,How do you tell a rabbit in the dark?  ,"You don't, you step on it!"
241,What do you call a ghost astronaut?,A caspernaut.
242,What do you call a nihilistic astronaut?,An allfornaught
243,why does the crow laugh,beacause they are mad ha ha ha I am also mad
244,What’s a bear with no ear?,Deaf
245,whats a fish with no eyes.,dead
246,whats round fat and is sticky,a greedy bee
247,the man says would you like some cash,and the other man says no i want PEANUTS
248,What do you call a master who likes cheese?,Cheese Master.
249,why do cows sleep ,so they dont wake up
250,We're waiting for Debbie.,Ah!
251,waiting who ,waiting for debbie
252,what’s blue all over,ocean
253,Q: What do flame-throwers eat for dinner? ,A: Baked beings.
254,what do cannonballs eat for dinner,baked beings
255,"If sarcasm is the lowest form of wit, then jokes written by small children are most definitely the highest.",Even the briefest of visits to the KidsWriteJokes Twitter page is glorious proof…
256,why did are short people so small,because they don’t sleep alot
257,KidsWriteJokes,takin
258,get out who,get out my pub
